FLIGHT_CARRIER_CODE;FLIGHT_NUMBER;AIRCRAFT_TYPE
AF ;0001;77W
AF ;0002;359
AF ;0003;359
AF ;0004;77W
AF ;0005;77W
AF ;0006;77W
AF ;0007;77W
AF ;0008;77W
AF ;0009;772
AF ;0010;77W
AF ;0011;77W
AF ;0012;359
AF ;0014;77W
AF ;0015;77W
AF ;0016;772
AF ;0017;772
AF ;0020;77W
AF ;0021;77W
AF ;0022;77W
AF ;0023;77W
AF ;0024;77W
AF ;0025;77W
AF ;0026;359
AF ;0027;359
AF ;0028;359
AF ;0029;359
AF ;0030;789
AF ;0031;789
AF ;0032;772
AF ;0033;772
AF ;0034;359
AF ;0035;359
AF ;0040;359
AF ;0041;359
AF ;0042;359
AF ;0043;77W
AF ;0049;772
AF ;0050;77W
AF ;0051;77W
AF ;0052;359
AF ;0053;359
AF ;0054;77W
AF ;0055;77W
AF ;0061;789
AF ;0062;359
AF ;0063;359
AF ;0065;77W
AF ;0066;77W
AF ;0068;789
AF ;0069;77W
AF ;0070;359
AF ;0072;77W
AF ;0073;359
AF ;0076;772
AF ;0077;772
AF ;0078;772
AF ;0079;772
AF ;0081;359
AF ;0082;772
AF ;0083;77W
AF ;0084;77W
AF ;0085;772
AF ;0090;77W
AF ;0092;359
AF ;0093;772
AF ;0095;77W
AF ;0096;772
AF ;0097;359
AF ;0099;77W
AF ;0107;332
AF ;0108;332
AF ;0111;77W
AF ;0115;359
AF ;0116;77W
AF ;0120;332
AF ;0125;789
AF ;0128;789
AF ;0132;359
AF ;0136;359
AF ;0137;359
AF ;0143;772
AF ;0146;359
AF ;0147;772
AF ;0148;772
AF ;0149;359
AF ;0152;77W
AF ;0153;789
AF ;0158;789
AF ;0159;789
AF ;0162;77W
AF ;0163;77W
AF ;0165;789
AF ;0166;789
AF ;0168;772
AF ;0169;772
AF ;0173;359
AF ;0174;359
AF ;0175;359
AF ;0178;77W
AF ;0179;77W
AF ;0181;772
AF ;0182;772
AF ;0183;77W
AF ;0185;359
AF ;0188;359
AF ;0191;332
AF ;0193;77W
AF ;0194;332
AF ;0195;772
AF ;0196;772
AF ;0198;77W
AF ;0199;77W
AF ;0201;772
AF ;0202;772
AF ;0203;359
AF ;0204;359
AF ;0206;332
AF ;0207;332
AF ;0208;359
AF ;0209;359
AF ;0212;77W
AF ;0214;772
AF ;0215;772
AF ;0217;77W
AF ;0218;77W
AF ;0222;789
AF ;0225;332
AF ;0226;332
AF ;0228;359
AF ;0229;359
AF ;0245;77W
AF ;0246;77W
AF ;0253;772
AF ;0254;77W
AF ;0255;772
AF ;0256;77W
AF ;0257;77W
AF ;0258;772
AF ;0264;77W
AF ;0267;77W
AF ;0268;789
AF ;0271;789
AF ;0272;77W
AF ;0274;77W
AF ;0275;77W
AF ;0276;77W
AF ;0279;77W
AF ;0281;359
AF ;0282;359
AF ;0283;772
AF ;0284;772
AF ;0285;772
AF ;0291;772
AF ;0292;772
AF ;0293;77W
AF ;0295;77W
AF ;0302;359
AF ;0303;359
AF ;0306;332
AF ;0310;BUS
AF ;0311;BUS
AF ;0312;BUS
AF ;0314;BUS
AF ;0315;BUS
AF ;0316;BUS
AF ;0317;BUS
AF ;0318;BUS
AF ;0321;359
AF ;0322;359
AF ;0323;359
AF ;0327;359
AF ;0328;359
AF ;0333;359
AF ;0334;359
AF ;0335;772
AF ;0336;772
AF ;0337;359
AF ;0338;789
AF ;0339;332
AF ;0341;77W
AF ;0342;77W
AF ;0343;77W
AF ;0344;772
