COD_CIE_IAT_2CA;LIB_CIE_FRA;LIB_CIE_ANG;DAT_DEB_VLD;DAT_FIN_VLD
##;INCONNU;INCONNU;01/01/1990;31/12/9999
0B;S.C. BLUE AIR AIRLINE MANAGEMENT;S.C. BLUE AIR AIRLINE MANAGEMENT;01/01/2015;31/12/9999
0J;PREMIUM JET AG;PREMIUM JET AG;01/01/2012;31/12/9999
0Q;HYDRO QUEBEC;HYDRO QUEBEC;01/12/2009;31/12/9999
0V;VIETNAM AIRLINES CORPORATION;VIETNAM AIRLINES CORPORATION;01/08/2011;31/12/9999
17;INTER ILES AIR;INTER ILES AIR;08/01/2016;31/12/9999
1A;AMADEUS IT GROUP SA;AMADEUS IT GROUP SA;01/01/1990;31/12/9999
1B;SABRE ASIA PACIFIC PTE LTD;SABRE ASIA PACIFIC PTE LTD;09/11/2015;31/12/9999
1C;HEWLETT-PACKARD (SCHWEIZ)  GMBH;HEWLETT-PACKARD (SCHWEIZ)  GMBH;01/05/2013;31/12/9999
1D;RADIXX SOLUTIONS INTERNATIONAL INC.;RADIXX SOLUTIONS INTERNATIONAL INC.;01/08/2011;31/12/9999
1E;TRAVELSKY TECHNOLOGY LIMITED;TRAVELSKY TECHNOLOGY LIMITED;01/01/1990;31/12/9999
1F;INFINI TRAVEL INFORMATION INC;INFINI TRAVEL INFORMATION INC;01/01/1990;31/12/9999
1G;TRAVELPORT GLOBAL DISTRIBUTION SYSTEM BV;TRAVELPORT GLOBAL DISTRIBUTION SYSTEM BV;01/03/2010;31/12/9999
1H;JSC SIRENA TRAVEL;JSC SIRENA TRAVEL;01/01/1990;31/12/9999
1I;NETJETS AVIATION INC;NETJETS AVIATION INC;01/08/2011;31/12/9999
1J;AXESS INTERNATIONAL NETWORK INC.;AXESS INTERNATIONAL NETWORK INC.;01/01/1990;31/12/9999
1L;NAVITAIRE OPEN SKIES;NAVITAIRE OPEN SKIES;01/08/2011;31/12/9999
1M;JSC TRANSPORT AUTOMATED INFORMATION SYST;JSC TRANSPORT AUTOMATED INFORMATION SYST;01/08/2011;31/12/9999
1N;NAVITAIRE;NAVITAIRE;01/01/1990;31/12/9999
1P;WORLDSPAN;WORLDSPAN;01/01/1990;31/12/9999
1Q;INTELISYS AVIATION SYSTEMS (2013);INTELISYS AVIATION SYSTEMS (2013);15/06/2015;31/12/9999
1R;BIRD INFORMATION SYSTEMS PRIVATE LIMITED;BIRD INFORMATION SYSTEMS PRIVATE LIMITED;01/08/2011;31/12/9999
1S;SABRE INC;SABRE INC;04/04/2002;31/12/9999
1U;ITA SOFTWARE INC;ITA SOFTWARE INC;06/09/2005;31/12/9999
1V;GALILEO INTERNATIONAL;GALILEO INTERNATIONAL;01/01/1990;31/12/9999
1W;LIMITED LIABILITY SOCIETY KUBANTOURIST;LIMITED LIABILITY SOCIETY KUBANTOURIST;01/08/2011;31/12/9999
1X;FLY BRANSON TRAVEL DBA BRANSON AIR;FLY BRANSON TRAVEL DBA BRANSON AIR;01/07/2011;31/12/9999
1Y;ELECTRONIC DATA SYSTEMS CORPORATION;ELECTRONIC DATA SYSTEMS CORPORATION;24/07/2001;31/12/9999
2B;OPEN JOINT STOCK AK BARS AERO;OPEN JOINT STOCK AK BARS AERO;01/08/2011;31/12/9999
2C;CMA CGM AIR CARGO;CMA CGM AIR CARGO;06/11/2022;31/12/9999
2D;DYNAMIC AIRWAYS LLC;DYNAMIC AIRWAYS LLC;16/04/2015;31/12/9999
2E;SMOKEY BAY AIR INC;SMOKEY BAY AIR INC;16/11/2010;31/12/9999
2F;AFRINAT INTERNATIONAL AIRLINES;AFRINAT INTERNATIONAL AIRLINES;01/02/2013;31/12/9999
2G;OPEN JOINT STOCK COMPANY ANGARA AIRLINES;OPEN JOINT STOCK COMPANY ANGARA AIRLINES;01/05/2013;31/12/9999
2H;THALYS INTERNATIONAL;THALYS INTERNATIONAL;01/07/2012;31/12/9999
2I;2I AIR LCC;2I AIR LCC;08/12/2016;31/12/9999
2J;AIR BURKINA;AIR BURKINA;01/01/1990;31/12/9999
2K;AEROLINAS GALAPAGOS S A AEROGAL;AEROLINAS GALAPAGOS S A AEROGAL;01/12/2010;31/12/9999
2L;TRANSPORTES AEREOS BOLIVIANOS;TRANSPORTES AEREOS BOLIVIANOS;01/08/2011;31/12/9999
2M;MOLDAVIAN AIRLINES;MOLDAVIAN AIRLINES;01/02/2014;31/12/9999
2N;NEXTJET AB;NEXTJET AB;01/08/2011;31/12/9999
2O;REDEMPTION INC;REDEMPTION INC;11/06/2007;31/12/9999
2P;AIR PHILIPPINES CORPORATION DBA PAL EXPR;AIR PHILIPPINES CORPORATION DBA PAL EXPR;01/05/2013;31/12/9999
2Q;AIR CARGO CARRIERS LLC;AIR CARGO CARRIERS LLC;01/08/2010;31/12/9999
2R;VIA RAIL CANADA INC.;VIA RAIL CANADA INC.;01/08/2011;31/12/9999
2S;KINDA AIRLINES;KINDA AIRLINES;01/02/2014;31/12/9999
2T;TIMIS AIR SERVICES;TIMIS AIR SERVICES;05/10/2016;31/12/9999
2U;SUN D OR INTERNATIONAL AIRLINES;SUN D OR INTERNATIONAL AIRLINES;01/08/2011;31/12/9999
2V;AMTRAK;AMTRAK;01/01/1990;31/12/9999
2W;WELCOME AIR LUFTFAHRT GMBH CO KG;WELCOME AIR LUFTFAHRT GMBH CO KG;01/05/2013;31/12/9999
2Z;PASSAREDO TRANSPORTES AEREOS S.A.;PASSAREDO TRANSPORTES AEREOS S.A.;01/03/2014;31/12/9999
3A;CHU KONG PASSENGER TRANSPORT CO. LTD.;CHU KONG PASSENGER TRANSPORT CO. LTD.;01/08/2011;31/12/9999
3B;BINTER CABO VERDE SOCIEDADE UNIPRESS S.A;BINTER CABO VERDE SOCIEDADE UNIPRESS S.A;03/02/2017;31/12/9999
3C;CALIMA AVIACION S.L;CALIMA AVIACION S.L;01/02/2014;31/12/9999
3D;DOKASCH GMBH;DOKASCH GMBH;01/02/2012;31/12/9999
3E;MULTI AERO INC DBA AIR CHOICE ONE;MULTI AERO INC DBA AIR CHOICE ONE;01/06/2010;31/12/9999
3F;PACIFIC AIRWAYS INC.;PACIFIC AIRWAYS INC.;02/04/2001;31/12/9999
3G;GAMBIA BIRD AILINES LIMITED;GAMBIA BIRD AILINES LIMITED;01/04/2013;31/12/9999
3H;AIR INUIT LTD/LTEE;AIR INUIT LTD/LTEE;01/01/1990;31/12/9999
3I;AIRLIFT SERVICE LTD;AIRLIFT SERVICE LTD;01/10/2010;31/12/9999
3J;JUBBA AIRWAYS LIMITED DBA;JUBBA AIRWAYS LIMITED DBA;01/05/2014;31/12/9999
3K;JETSTAR ASIA AIRWAYS PTE LTD;JETSTAR ASIA AIRWAYS PTE LTD;01/11/2011;31/12/9999
3L;AIR ARABIA ABU DHABI DBA AIR ARABIA ABU;AIR ARABIA ABU DHABI DBA AIR ARABIA ABU;10/04/2024;31/12/9999
3M;SILVER AIRWAYS CORP;SILVER AIRWAYS CORP;01/02/2012;31/12/9999
3N;AIR URGA;AIR URGA;01/01/1990;31/12/9999
3O;AIR ARABIA MAROC;AIR ARABIA MAROC;01/02/2012;31/12/9999
3R;JOINT STOCK COMPANY MOSKOVIA AIRLINES;JOINT STOCK COMPANY MOSKOVIA AIRLINES;01/04/2013;31/12/9999
3S;AEROLOGIC GMBH;AEROLOGIC GMBH;01/08/2011;31/12/9999
3T;TARCO AIR;TARCO AIR;15/06/2015;31/12/9999
3U;SICHUAN AIRLINES CO.LTD.;SICHUAN AIRLINES CO.LTD.;01/08/2011;31/12/9999
3V;ASL AIRLINES BELGIUM;ASL AIRLINES BELGIUM;03/02/2017;31/12/9999
3W;MALAWIAN AIRLINES;MALAWIAN AIRLINES;01/01/2014;31/12/9999
3X;JAPAN AIR COMMUTER CO. LTD.;JAPAN AIR COMMUTER CO. LTD.;01/08/2014;31/12/9999
3Y;BASEOPS INTERNATIONAL INC.;BASEOPS INTERNATIONAL INC.;01/11/2011;31/12/9999
3Z;TRAVEL SERVICE POLSKA SP. Z.O.O.;TRAVEL SERVICE POLSKA SP. Z.O.O.;01/07/2012;31/12/9999
4A;AERO TRANSPORTE S.A.;AERO TRANSPORTE S.A.;01/06/2014;31/12/9999
4B;BOUTIQUE AIR INC.;BOUTIQUE AIR INC.;01/12/2011;31/12/9999
4C;AEROVIAS DE INTEGRACION REGIONAL DBA LAT;AEROVIAS DE INTEGRACION REGIONAL DBA LAT;06/05/2016;31/12/9999
4D;AIR SINAI;AIR SINAI;01/08/2011;31/12/9999
4E;STABO AIR LIMITED;STABO AIR LIMITED;01/11/2012;31/12/9999
4G;GAZPROMAVIA AVIATION COMPANY LTD;GAZPROMAVIA AVIATION COMPANY LTD;09/11/2015;31/12/9999
4H;BANGLADESH UNITED AIRWAYSLTD;BANGLADESH UNITED AIRWAYSLTD;01/01/2016;31/12/9999
4I;IHY IZMIR HAVAYOLLARI A S;IHY IZMIR HAVAYOLLARI A S;01/08/2011;31/12/9999
4K;KENN BOREK AIR LTD.;KENN BOREK AIR LTD.;01/01/1990;31/12/9999
4L;PALAU NATIONAL AIRLINES;PALAU NATIONAL AIRLINES;01/03/2014;31/12/9999
4M;LAN ARGENTINA DBA LATAM AIRLINES ARGENTI;LAN ARGENTINA DBA LATAM AIRLINES ARGENTI;06/05/2016;31/12/9999
4N;AIR NORTH CHARTER AND TRAINING LTD;AIR NORTH CHARTER AND TRAINING LTD;01/08/2011;31/12/9999
4O;ORBEST S.A.;ORBEST S.A.;01/07/2019;31/12/9999
4Q;SAFI AIRWAYS LTD;SAFI AIRWAYS LTD;01/08/2011;31/12/9999
4R;JSC ROYAL FLIGHT AIRLINES;JSC ROYAL FLIGHT AIRLINES;09/11/2015;31/12/9999
4S;SOLAR CARGO C A;SOLAR CARGO C A;25/09/2005;31/12/9999
4T;BELAIR AIRLINES LTD.;BELAIR AIRLINES LTD.;01/08/2011;31/12/9999
4U;GERMANWINGS GMBH;GERMANWINGS GMBH;01/05/2011;31/12/9999
4V;BV AIRWAYS DBA BVI AIRWAYS;BV AIRWAYS DBA BVI AIRWAYS;03/03/2017;31/12/9999
4W;ALLIED AIR;ALLIED AIR;01/08/2011;31/12/9999
4X;MERCURY AIR CARGO INC.;MERCURY AIR CARGO INC.;01/08/2011;31/12/9999
4Y;EW DISCOVER GMBH;EW DISCOVER GMBH;24/07/2021;31/12/9999
4Z;SA AIRLINK DBA SOUTH AFRICAN AIRLINK;SA AIRLINK DBA SOUTH AFRICAN AIRLINK;01/01/1990;31/12/9999
5A;ALPINE AVIATION INC;ALPINE AVIATION INC;01/03/2014;31/12/9999
5B;BASSAKA AIR LIMITED;BASSAKA AIR LIMITED;07/04/2017;31/12/9999
5C;NATURE AIR SA;NATURE AIR SA;01/08/2011;31/12/9999
5D;AEROLITORAL S.A DE C.V.;AEROLITORAL S.A DE C.V.;01/04/2014;31/12/9999
5E;EAST COAST FLIGHT SERVICES INC.;EAST COAST FLIGHT SERVICES INC.;16/09/2015;31/12/9999
5F;FLY ONE S.R.L.;FLY ONE S.R.L.;26/03/2021;31/12/9999
5G;AEROCUAHONTE SA DE CV;AEROCUAHONTE SA DE CV;06/06/2016;31/12/9999
5H;FIVE FOURTY AVIATION LIMITED;FIVE FOURTY AVIATION LIMITED;01/07/2012;31/12/9999
